# time_us real imag
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000278e-02 1.561127146684370857e-03 -2.472179719142997343e-04
1.000000000000000056e-01 6.011285131413530991e-03 -1.926122756984190556e-03
1.499999999999999944e-01 1.269864520982811294e-02 -6.277020254180143422e-03
2.000000000000000111e-01 2.064999060961848765e-02 -1.425070815001632483e-02
2.500000000000000000e-01 2.868092667931796541e-02 -2.645253110555636014e-02
2.999999999999999889e-01 3.550765169771863405e-02 -4.312076442334487891e-02
3.499999999999999778e-01 3.985165873790032925e-02 -6.413541554511800746e-02
4.000000000000000222e-01 4.053084663144004146e-02 -8.905196307884739870e-02
4.500000000000000111e-01 3.653270420705711369e-02 -1.171537150193631971e-01
5.000000000000000000e-01 2.706730857343637997e-02 -1.475162705051342449e-01
5.500000000000000444e-01 1.159970874982626035e-02 -1.790778908774486866e-01
5.999999999999999778e-01 -1.013723555593457407e-02 -2.107102905029815398e-01
6.500000000000000222e-01 -3.814736422591856468e-02 -2.412853111408582718e-01
6.999999999999999556e-01 -7.219012935563060007e-02 -2.697340224449744084e-01
7.500000000000000000e-01 -1.118105612633164270e-01 -2.950958909097033400e-01
8.000000000000000444e-01 -1.563768389834196415e-01 -3.165566979116238300e-01
8.499999999999999778e-01 -2.051221607854259443e-01 -3.334748054851648380e-01
9.000000000000000222e-01 -2.571879368136529287e-01 -3.453961292806780881e-01
9.499999999999999556e-01 -3.116657737111342974e-01 -3.520587645541343735e-01
1.000000000000000000e+00 -3.676362347228339655e-01 -3.533886219135242146e-01
1.050000000000000044e+00 -4.242028911607602648e-01 -3.494876760835831098e-01
1.100000000000000089e+00 -4.805206947699153797e-01 -3.406165328533278247e-01
1.149999999999999911e+00 -5.358181679094049521e-01 -3.271730014128586550e-01
1.199999999999999956e+00 -5.894133114452220212e-01 -3.096682483627602456e-01
1.250000000000000000e+00 -6.407234591087725972e-01 -2.887019324654868102e-01
1.300000000000000044e+00 -6.892695590697279773e-01 -2.649375004293326175e-01
1.350000000000000089e+00 -7.346755413298347026e-01 -2.390785853049662568e-01
1.399999999999999911e+00 -7.766635399382494365e-01 -2.118472083384389248e-01
1.449999999999999956e+00 -8.150457911731756599e-01 -1.839642563296002287e-01
1.500000000000000000e+00 -8.497140332657466821e-01 -1.561324998270126330e-01
1.550000000000000044e+00 -8.806272008189629519e-01 -1.290222394924755711e-01
1.600000000000000089e+00 -9.077981482067283281e-01 -1.032595223185961558e-01
1.649999999999999911e+00 -9.312800603344447703e-01 -7.941675724425009686e-02
1.699999999999999956e+00 -9.511531242560820054e-01 -5.800548034180479789e-02
1.750000000000000000e+00 -9.675119477817568647e-01 -3.947097102547250658e-02
1.800000000000000044e+00 -9.804541262848425198e-01 -2.418839961959151283e-02
1.850000000000000089e+00 -9.900702797878169203e-01 -1.246018957391409158e-02
1.899999999999999911e+00 -9.964358110003528335e-01 -4.514300843645313935e-03
1.949999999999999956e+00 -9.996045719681796449e-01 -5.031806833901015510e-04
2.000000000000000000e+00 -9.996045719681796449e-01 -5.031806833896575702e-04
2.049999999999999822e+00 -9.964358110003528335e-01 -4.514300843645313935e-03
2.100000000000000089e+00 -9.900702797878169203e-01 -1.246018957391409158e-02
2.149999999999999911e+00 -9.804541262848424088e-01 -2.418839961959063853e-02
2.200000000000000178e+00 -9.675119477817567537e-01 -3.947097102547249964e-02
2.250000000000000000e+00 -9.511531242560820054e-01 -5.800548034180522117e-02
2.299999999999999822e+00 -9.312800603344446593e-01 -7.941675724424966665e-02
2.350000000000000089e+00 -9.077981482067281060e-01 -1.032595223185957256e-01
2.399999999999999911e+00 -8.806272008189628409e-01 -1.290222394924751548e-01
2.450000000000000178e+00 -8.497140332657464601e-01 -1.561324998270125775e-01
2.500000000000000000e+00 -8.150457911731755489e-01 -1.839642563296005617e-01
2.549999999999999822e+00 -7.766635399382494365e-01 -2.118472083384385363e-01
2.600000000000000089e+00 -7.346755413298344806e-01 -2.390785853049658682e-01
2.649999999999999911e+00 -6.892695590697277552e-01 -2.649375004293325064e-01
2.700000000000000178e+00 -6.407234591087723752e-01 -2.887019324654866992e-01
2.750000000000000000e+00 -5.894133114452220212e-01 -3.096682483627595794e-01
2.799999999999999822e+00 -5.358181679094051741e-01 -3.271730014128580999e-01
2.850000000000000089e+00 -4.805206947699150466e-01 -3.406165328533278802e-01
2.899999999999999911e+00 -4.242028911607599873e-01 -3.494876760835828877e-01
2.950000000000000178e+00 -3.676362347228341321e-01 -3.533886219135240481e-01
3.000000000000000000e+00 -3.116657737111345750e-01 -3.520587645541340405e-01
3.049999999999999822e+00 -2.571879368136525956e-01 -3.453961292806779770e-01
3.100000000000000089e+00 -2.051221607854255558e-01 -3.334748054851645604e-01
3.149999999999999911e+00 -1.563768389834195860e-01 -3.165566979116237745e-01
3.200000000000000178e+00 -1.118105612633163437e-01 -2.950958909097031180e-01
3.250000000000000000e+00 -7.219012935563037803e-02 -2.697340224449740198e-01
3.299999999999999822e+00 -3.814736422591856468e-02 -2.412853111408582718e-01
3.350000000000000089e+00 -1.013723555593484468e-02 -2.107102905029813456e-01
3.399999999999999911e+00 1.159970874982623953e-02 -1.790778908774483535e-01
3.450000000000000178e+00 2.706730857343648058e-02 -1.475162705051338841e-01
3.500000000000000000e+00 3.653270420705712063e-02 -1.171537150193630167e-01
3.549999999999999822e+00 4.053084663143993044e-02 -8.905196307884732931e-02
3.600000000000000089e+00 3.985165873790021129e-02 -6.413541554511781317e-02
3.649999999999999911e+00 3.550765169771861324e-02 -4.312076442334489973e-02
3.700000000000000178e+00 2.868092667931787521e-02 -2.645253110555629769e-02
3.750000000000000000e+00 2.064999060961839397e-02 -1.425070815001626585e-02
3.799999999999999822e+00 1.269864520982809906e-02 -6.277020254180170310e-03
3.850000000000000089e+00 6.011285131413476347e-03 -1.926122756984179280e-03
3.899999999999999911e+00 1.561127146684315780e-03 -2.472179719142920907e-04
3.950000000000000178e+00 0.000000000000000000e+00 0.000000000000000000e+00
